Experience,Performance_Rating,Leadership_Score,Skill_Match,Promotions,Salary
15.0,4.0,0.0112797776576401,1.6671852296540957,2.0,108198.72156641784
10.0,3.0195876288659798,9.744141110431304,2.7689210875554684,1.0,80235.07000690306
16.883917525773196,2.0,0.2597730413286481,4.877851826226335,1.0,138260.00764180048
5.0,3.0,1.523667272397342,6.138160659076112,3.0,94967.16185658542
34.0,3.0,4.220463294482849,4.677871127874008,0.0,120593.7180363511
32.0,1.0,4.963698129978603,8.05528694932143,2.0295876288659795,146281.44072140823
17.0,2.0,8.34465957429185,7.680948846147487,4.0,123063.65002533302
12.0,2.0,4.47817949915664,4.052429220355944,2.0,95665.94700192397
9.0,5.0,5.474291366508607,0.4061187266053834,2.0,75717.35205530097
25.0,4.0,1.9999987085211977,1.9449637881737936,4.0,110185.87852854015
16.0,4.0,5.691586991399007,4.869526492092453,2.0,115548.4751891554
0.0,1.0,3.483837429854506,9.275137566620668,4.0,95368.99280018304
24.0,1.0,0.9873228127585232,5.675694868517947,2.0,127394.4976720306
33.0,5.0,9.464628913486434,5.3039490644337,1.0,136907.68853653947
9.0,5.0,0.8168428544338779,7.23970043303008,3.0,97650.9249394228
19.0,3.0,6.7787893038166604,1.5229494815642697,0.0,88633.14983049137
6.0,4.0,9.08193152927807,1.469184681387372,0.0,64418.249641847855
15.0,5.0,1.7920465422304377,3.4539517446933345,0.0,107191.85719959316
28.0,2.0,2.371176661290215,9.94852631546434,0.0,114720.73106576348
11.0,3.0,4.267067651424115,8.759418324994,0.0,94021.120898076
16.0,3.0,2.945099681860971,6.801139004348062,4.0,128205.08476741456
19.0,4.0,7.5903313973720445,3.911549228629712,1.0,131624.3243235362
25.0,4.0,3.3815337550657008,5.546739551767418,3.0,129165.26720530668
18.0,3.0195876288659798,9.858355404186014,3.035541179090547,0.0,98236.77549270194
11.0,1.0,8.587872325099697,6.743070121860527,2.0,82318.13378355972
20.0,4.0,5.01570315036303,4.188456615574808,2.0,107423.3750600126
33.0,1.0,0.6366428526747281,1.202158942422169,3.0,113676.2165840508
6.0,5.0,1.7630845942908413,2.150879540980596,0.0,91003.97353295506
34.0,3.0195876288659798,1.693684069188326,6.086927913367813,0.0,120969.93880898318
14.0,2.0,6.719646481756439,6.945647026910096,1.0,92288.89462353932
0.0,3.0,0.119113741751673,0.9602166463416116,2.0,42873.41158287122
16.883917525773196,3.0,8.06426199976002,8.083409770721461,2.0,131774.34661314482
34.0,3.0,5.470460184253541,8.243473859149233,4.0,143280.17262115562
24.0,2.0,5.663130315873936,7.230819142770252,2.0,111549.83898038288
14.0,3.0,5.3733642224101175,6.835885344460908,0.0,110895.56740002208
21.0,1.0,5.353458897232723,2.3186858602393534,0.0,100150.33793916657
5.0,3.0,1.9788607463355024,9.19621962413576,2.0,105354.59109991755
14.0,3.0195876288659798,2.831797218190315,2.6857355516901817,4.0,121705.22858510276
23.0,3.0,4.876174578334754,1.825046393174582,3.0,118326.87122502556
20.0,1.0,6.778444975224462,6.385340367039491,2.0,130359.72773177605
6.0,2.0,2.7195376001843474,3.64104294945478,3.0,64948.2327765532
28.0,2.0,8.06134924997507,9.330280846619456,2.0,146114.32119390412
31.0,2.0,8.105931677810291,4.602496084583505,3.0,140295.05773516273
31.0,1.0,2.7387940715601564,1.6371854305115383,0.0,102281.17770214145
4.0,2.0,5.60064680554103,9.575286473948507,0.0,68323.27653705512
3.0,4.0,3.4892285453406258,5.154339136926652,3.0,102122.6172924032
21.0,3.0,1.906857354373665,5.185589248179294,1.0,118558.856785864
17.0,1.0,8.059999557958484,3.858026888443616,0.0,82018.60186252474
34.0,3.0,9.91481218306534,8.359937750282052,4.0,162681.96132658995
16.0,5.0,5.657191781923582,2.876436206860092,4.0,115191.02795181343
23.0,3.0,9.13946704859693,0.1370970789028591,3.0,103521.52461931146
1.0,1.0,6.421688075448019,4.972779269100856,1.0,54575.31626510448
12.0,4.0,5.657237015786565,9.258869116422725,4.0,103057.90226629734
14.0,4.0,4.801448800474388,2.732666865443749,0.0,83324.53598076143
4.0,2.0,2.3571496669333856,2.663054366934511,2.0,107057.2471969994
2.0,4.0,0.8425527128243515,5.013634936145981,2.0,65957.3798239665
2.0,5.0,4.42335918016843,7.755333340641824,0.0,61361.726332634695
34.0,5.0,5.613099135488573,4.355565376851475,1.0,130550.62671833238
22.0,3.0,5.094496542224242,8.336432711230358,3.0,140535.28691348404
27.0,5.0,6.955706354090126,1.7193308400368337,0.0,126172.20195929568
29.0,1.0,1.920987835675405,3.670253733609469,2.0,105764.00904984484
17.0,2.0,3.54202978913165,4.0427791531677215,3.0,125446.6259885662
32.0,5.0,4.155672712902664,3.127958932062934,1.0,152056.21734040594
25.0,2.0,1.86523305578312,5.013634936145981,4.0,126047.36820997008
16.0,2.0,9.064642136721272,3.3814952894229258,2.0,124175.87254201905
6.0,3.0,6.815114574129173,0.1800318353575769,1.0,89873.2292896188
7.0,1.0,0.918623463423679,7.033500347600685,0.0,78420.23903807571
30.0,3.0,7.127980398671891,6.839592345303121,1.0,154653.20774096443
11.0,5.0,5.477876060204951,4.502181122103332,1.0,79663.82114779107
30.0,5.0,5.239404667931526,3.229155838656835,3.0,122174.32547297773
18.0,2.0,9.89785775107481,4.34093535902449,2.0,124923.31688296536
9.0,4.0,6.182008211755788,9.3652081598892,2.0,121250.44877326992
11.0,2.0,8.967281929963137,6.035648488992342,1.0,111088.48741287577
19.0,1.0,9.13548940106124,5.013634936145981,0.0,95501.90507224796
6.0,4.0,1.014186317408502,2.295167453112969,1.0,62363.38246554085
13.0,4.0,0.0836225637956988,0.9475797232522808,0.0,69278.94535935292
10.0,4.0,4.352669093987274,0.8318493470911681,3.0,97219.17834605294
6.0,5.0,7.692849810410226,4.720188535785844,2.0,107057.2471969994
28.0,1.0,8.24195955330532,7.1668633791103264,2.0,151956.20539901347
9.0,5.0,7.874940466339014,7.741203825940546,2.0295876288659795,108970.89641128316
28.0,2.0,4.472879585141993,7.2040980699000965,2.0,119165.8492267262
8.0,2.0,7.499641185365241,9.127624876481702,3.0,103918.11659673614
